build_candidate,candidate,role,prediction_level,fold,n,n_cn,n_ad,tn,fp,fn,tp,sensitivity,specificity,balanced_accuracy,f1,predicted_ad_rate,auc,pr_auc
runwise164_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,3,180,90,90,72,18,60,30,0.3333333333333333,0.8,0.5666666666666667,0.43478260869565216,0.26666666666666666,0.6155555555555556,0.6176805618321042
runwise164_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,4,180,90,90,76,14,58,32,0.35555555555555557,0.8444444444444444,0.6,0.47058823529411764,0.25555555555555554,0.6555555555555556,0.6426039336254348
runwise164_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,5,180,90,90,64,26,54,36,0.4,0.7111111111111111,0.5555555555555556,0.47368421052631576,0.34444444444444444,0.6080246913580247,0.6085221279640709
runwise164_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,fold_model,1,180,90,90,83,7,59,31,0.34444444444444444,0.9222222222222223,0.6333333333333333,0.484375,0.2111111111111111,0.674567901234568,0.696781908633505
runwise164_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,fold_model,2,180,90,90,77,13,69,21,0.23333333333333334,0.8555555555555555,0.5444444444444444,0.3387096774193548,0.18888888888888888,0.620493827160494,0.6287473207207356
runwise164_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,fold_model,3,180,90,90,78,12,67,23,0.25555555555555554,0.8666666666666667,0.5611111111111111,0.368,0.19444444444444445,0.6265432098765433,0.6365962297571572
runwise164_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,fold_model,4,180,90,90,82,8,71,19,0.2111111111111111,0.9111111111111111,0.5611111111111111,0.3247863247863248,0.15,0.6481481481481481,0.6573458605370928
runwise164_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,fold_model,5,180,90,90,65,25,48,42,0.4666666666666667,0.7222222222222222,0.5944444444444444,0.535031847133758,0.37222222222222223,0.6329629629629631,0.6383964354875676
runwise164_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,1,180,90,90,80,10,58,32,0.35555555555555557,0.8888888888888888,0.6222222222222222,0.48484848484848486,0.23333333333333334,0.6621604938271605,0.6679228596540095
runwise164_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,2,180,90,90,75,15,66,24,0.26666666666666666,0.8333333333333334,0.55,0.37209302325581395,0.21666666666666667,0.6246296296296296,0.6264380020463008
runwise164_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,3,180,90,90,68,22,57,33,0.36666666666666664,0.7555555555555555,0.5611111111111111,0.45517241379310347,0.3055555555555556,0.6327160493827161,0.6370226968097031
runwise164_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,4,180,90,90,80,10,68,22,0.24444444444444444,0.8888888888888888,0.5666666666666667,0.36065573770491804,0.17777777777777778,0.6366049382716049,0.6518589680366647
runwise164_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,5,180,90,90,57,33,48,42,0.4666666666666667,0.6333333333333333,0.55,0.509090909090909,0.4166666666666667,0.6249382716049383,0.6283307276700056
runwise_140TR_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,1,180,90,90,79,11,65,25,0.2777777777777778,0.8777777777777778,0.5777777777777777,0.3968253968253968,0.2,0.648888888888889,0.6485228075721745
runwise_140TR_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,2,180,90,90,79,11,67,23,0.25555555555555554,0.8777777777777778,0.5666666666666667,0.3709677419354839,0.18888888888888888,0.6320987654320986,0.6341720270056765
runwise_140TR_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,3,180,90,90,73,17,62,28,0.3111111111111111,0.8111111111111111,0.5611111111111111,0.4148148148148148,0.25,0.6180246913580247,0.6204910099843269
runwise_140TR_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,4,180,90,90,83,7,68,22,0.24444444444444444,0.9222222222222223,0.5833333333333334,0.3697478991596639,0.16111111111111112,0.6391358024691359,0.6611564060877828
runwise_140TR_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,5,180,90,90,63,27,53,37,0.4111111111111111,0.7,0.5555555555555556,0.4805194805194805,0.35555555555555557,0.6006172839506173,0.6000427827183399
runwise_140TR_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,1,180,90,90,79,11,64,26,0.28888888888888886,0.8777777777777778,0.5833333333333333,0.4094488188976378,0.20555555555555555,0.6404938271604939,0.6505452486776401
runwise_140TR_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,2,180,90,90,79,11,71,19,0.2111111111111111,0.8777777777777778,0.5444444444444444,0.31666666666666665,0.16666666666666666,0.6,0.617097988512707
runwise_140TR_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,3,180,90,90,71,19,64,26,0.28888888888888886,0.7888888888888889,0.5388888888888889,0.3851851851851852,0.25,0.5990123456790123,0.6067064778525144
runwise_140TR_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,4,180,90,90,75,15,59,31,0.34444444444444444,0.8333333333333334,0.5888888888888889,0.45588235294117646,0.25555555555555554,0.6422222222222222,0.6353806468534642
runwise_140TR_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,5,180,90,90,63,27,53,37,0.4111111111111111,0.7,0.5555555555555556,0.4805194805194805,0.35555555555555557,0.5904938271604938,0.5942923233143339
runwise_140TR_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,fold_model,1,180,90,90,81,9,60,30,0.3333333333333333,0.9,0.6166666666666667,0.46511627906976744,0.21666666666666667,0.668641975308642,0.6920704691293031
runwise_140TR_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,fold_model,2,180,90,90,77,13,72,18,0.2,0.8555555555555555,0.5277777777777778,0.2975206611570248,0.17222222222222222,0.6139506172839507,0.6168762271441255
runwise_140TR_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,fold_model,3,180,90,90,76,14,67,23,0.25555555555555554,0.8444444444444444,0.55,0.36220472440944884,0.20555555555555555,0.6030864197530863,0.6220974292110243
runwise_140TR_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,fold_model,4,180,90,90,80,10,71,19,0.2111111111111111,0.8888888888888888,0.5499999999999999,0.31932773109243695,0.16111111111111112,0.6279012345679013,0.6343779390504445
runwise_140TR_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,fold_model,5,180,90,90,63,27,49,41,0.45555555555555555,0.7,0.5777777777777777,0.5189873417721519,0.37777777777777777,0.6182716049382716,0.6308437614440706
runwise_140TR_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,1,180,90,90,77,13,57,33,0.36666666666666664,0.8555555555555555,0.611111111111111,0.4852941176470588,0.25555555555555554,0.6512962962962964,0.6682892987222413
runwise_140TR_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,2,180,90,90,76,14,66,24,0.26666666666666666,0.8444444444444444,0.5555555555555556,0.375,0.2111111111111111,0.6167901234567901,0.6184066657788939
runwise_140TR_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,3,180,90,90,67,23,56,34,0.37777777777777777,0.7444444444444445,0.5611111111111111,0.46258503401360546,0.31666666666666665,0.6096913580246914,0.6186798073834305
runwise_140TR_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,4,180,90,90,78,12,68,22,0.24444444444444444,0.8666666666666667,0.5555555555555556,0.3548387096774194,0.18888888888888888,0.6185185185185186,0.6385615825006707
runwise_140TR_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,5,180,90,90,58,32,47,43,0.4777777777777778,0.6444444444444445,0.5611111111111111,0.5212121212121212,0.4166666666666667,0.6080246913580247,0.6204610885722981
