site_i,site_j,n_i,n_j,euclidean_dist,cosine_dist
126,13,2,7,12.058825492858887,0.9859983157366514
126,130,2,33,11.296041488647461,0.9917446728795767
126,131,2,1,18.500289916992188,0.9878268176689744
126,135,2,6,12.713057518005371,1.0140520427376032
126,136,2,5,12.651206016540527,1.0128260040655732
126,14,2,18,11.27273941040039,0.9277979806065559
126,168,2,8,12.170395851135254,1.0077570443972945
126,177,2,6,12.499553680419922,0.9500682726502419
126,18,2,10,11.850677490234375,1.0091160787269473
126,19,2,12,11.893059730529785,1.0249830093234777
126,2,2,9,11.569326400756836,0.9233184307813644
126,22,2,1,18.298805236816406,0.9840334262698889
126,27,2,4,11.7305908203125,0.7647667229175568
126,3,2,20,10.508711814880371,0.7540434300899506
126,301,2,4,13.352774620056152,0.985133639536798
126,305,2,7,12.535907745361328,1.0275805424898863
126,31,2,6,12.562312126159668,1.0177685096859932
126,32,2,3,12.578767776489258,0.8961729481816292
126,35,2,4,11.89062786102295,0.8175023794174194
126,53,2,4,12.960161209106445,0.9215931072831154
126,57,2,2,15.520275115966797,1.113689087331295
126,6,2,14,11.55929183959961,1.014091270044446
126,82,2,1,16.957015991210938,0.9916037358343601
126,98,2,3,13.752138137817383,1.0061481278389692
127,129,2,2,13.99848461151123,1.0203886069357395
127,13,2,7,11.284358978271484,0.9370756447315216
127,130,2,33,10.070672035217285,0.8065475523471832
127,131,2,1,16.836538314819336,0.8368940055370331
127,135,2,6,11.4591064453125,0.8836218491196632
127,136,2,5,11.868144989013672,0.9637166373431683
127,14,2,18,10.603525161743164,0.8998114764690399
127,168,2,8,11.00711441040039,0.8828315585851669
127,177,2,6,12.580004692077637,1.0502547360956669
127,18,2,10,10.387903213500977,0.810329481959343
127,19,2,12,10.744437217712402,0.8905048817396164
127,2,2,9,10.943885803222656,0.9044245332479477
127,22,2,1,17.916397094726562,0.9788364823907614
127,27,2,4,12.7174072265625,0.9799821935594082
127,3,2,20,10.740372657775879,0.9453992247581482
127,301,2,4,12.506484985351562,0.9275025874376297
127,305,2,7,11.791154861450195,0.9849729081615806
127,31,2,6,11.750215530395508,0.9629951566457748
127,32,2,3,11.778942108154297,0.8460517376661301
127,35,2,4,12.29470443725586,0.9546126127243042
127,53,2,4,13.310637474060059,1.0485773608088493
127,57,2,2,13.46351146697998,0.889547660946846
127,6,2,14,10.76897144317627,0.9546625204384327
127,82,2,1,16.76179313659668,1.0134310787543654
127,98,2,3,11.737428665161133,0.7822146564722061
129,13,2,7,10.968066215515137,0.9860728429630399
129,130,2,33,10.227616310119629,1.024382522329688
129,131,2,1,18.81112289428711,1.114428922533989
129,135,2,6,11.10594367980957,0.9135112687945366
129,136,2,5,11.19609546661377,0.939254354685545
129,14,2,18,9.893732070922852,0.8711938261985779
129,168,2,8,11.201250076293945,1.0336618460714817
129,177,2,6,11.312787055969238,0.9212486669421196
129,18,2,10,10.339696884155273,0.9227871149778366
129,19,2,12,10.401668548583984,0.9426018074154854
129,2,2,9,10.522506713867188,0.9352900236845016
129,22,2,1,17.087526321411133,0.9201729074120522
129,27,2,4,11.927539825439453,0.9338450878858566
129,3,2,20,10.032615661621094,0.9172319918870926
129,301,2,4,12.221091270446777,0.9596339352428913
129,305,2,7,10.763250350952148,0.8952699452638626
129,31,2,6,10.900734901428223,0.9066453501582146
129,32,2,3,12.129108428955078,0.9788514971733093
129,35,2,4,12.215560913085938,1.0281480196863413
129,53,2,4,12.545822143554688,1.0065958052873611
